Num,info,byte1,byte2,byte3,byte4,byte5
B_00,查询设备ID,型号配置,生产年份,批号,序列号1,序列号2
B_01,查询主控硬件版本,16_t:B_01_1,16_t:B_01_2,主控板ZK硬件版本,远控板硬件版本,电机驱动板硬件版本
B_02,查询主控固件版本,主控板ZK固件版本版本号I,主控板ZK固件版本版本号II,主控板ZK固件版本版本号III,远控板固件版本,电机驱动板固件版本
B_03,设备内部模块通讯状态,16_t:B_03_1,8_bit:B_03,16_t:B_03_2,16_t:B_03_3,/
B_04,查询触发方式,/,/,/,/,16_t:B_04
B_05,查询A射源参数,电压1,电压2,电流1,电流2,/
B_06,查询B射源参数,电压1,电压2,电流1,电流2,/
B_07,查询射源温度,A_temp1,A_temp2,B_temp1,B_temp2,/
B_08,查询射源错误编码,/,/,/,A源错误BCD码（00表示正常）,B源错误BCD码（01表示正常）
B_09,查询电机错误编码,/,/,/,/,电机错误码
B_0A,查询冷却时间,/,/,/,/,冷却时间（s）
B_80,设置预置参数,/,/,/,16_t:B_80_1,16_t:B_80_2
B_81,设置A源参数,电压1,电压2,电流1,电流2,16_t:B_81
B_82,设置B源参数,电压1,电压2,电流1,电流2,16_t:B_82
B_83,设置剂量和触发模式,/,/,/,16_t:B_83_1,16_t:B_83_2
B_84,设备回原点,/,/,/,/,16_t:B_84
B_85,软件就绪,/,/,/,16_t:B_85_1,16_t:B_85_2
B_86,设置预览拍摄的开关,/,/,/,/,16_t:B_86
B_87,预览拍摄启动,/,/,/,16_t:B_87_1,16_t:B_87_2
B_88,启动拍摄（软件）,/,/,/,/,16_t:B_88
B_89,启动拍摄（手闸）,/,/,/,/,16_t:B_89
B_8A,取消拍摄（软件）,/,/,/,/,16_t:B_8A
B_8B,取消拍摄（手闸）,/,/,/,/,16_t:B_8B
B_8C,复位电机报错,/,/,/,/,16_t:B_8C
B_8D,复位射源报错,/,/,/,/,16_t:B_8D
B_8E,设置FOV模式（保留）,/,/,/,16_t:B_8E_1,16_t:B_8E_2
B_8F,设置出图模式（保留）,/,/,/,16_t:B_8F_2,16_t:B_8F_3
B_90,设置预览出图的模式,/,/,/,8_bit:B_90,16_t:B_90
B_91,设置config mode,/,/,/,16_t:B_91_1,16_t:B_91_2
B_92,设置蜂鸣器开关,/,/,/,16_t:B_92_1,16_t:B_92_2
B_93,PC心跳报文,/,/,/,/,16_t:B_93
B_94,设备反转到启动位,/,/,/,/,16_t:B_94
B_B0,远控板通知版本,/,/,/,远控板硬件版本,远控板固件版本
B_B1,启动射源校准,/,/,/,/,16_t:B_B1
B_B2,启动主控板远程升级（0B）,/,/,/,/,16_t:B_B2
B_B3,配置设备ID,型号配置,生产年份,批号,序列号1,序列号2
B_B4,自动摆位开关,/,/,/,/,16_t:B_B4
B_C0,测试模式开关,/,/,/,底座电机状态（测试模式）,16_t:B_C0
B_C1,动作模拟,/,/,/,/,底座电机状态（动作模拟）
B_C2,电机连续运行,/,/,/,/,底座电机状态（电机连续运行）
B_C3,电机正向点动,/,/,/,/,底座电机状态（电机正向点动）
B_C4,电机逆向点动,/,/,/,/,底座电机状态（电机逆向点动）
B_C5,电机速度调节（保留）,/,寄存器高位,寄存器地位,电机速度,电机加速度
B_C6,复位电机警告（保留）,/,/,/,/,16_t:B_C6
B_C7,启动训管,/,/,/,/,16_t:B_C7
B_C8,取消训管,/,/,/,/,16_t:B_C8
B_C9,启动设备自检,/,/,/,/,16_t:B_C9
B_CA,启动采集暗场图像,/,/,/,/,16_t:B_CA
B_CB,设备不转，双源各出一张图,/,/,/,/,16_t:B_CB
B_CC,启动校准出图,/,/,/,/,16_t:B_CC
B_CD,设置校准出图的参数,/,前导图数量（默认3）,亮场图数量1（默认200）,亮场图数量2（默认5）,后续暗场数量
