Num,info,byte1,byte2,byte3,byte4,byte5
C_00,心跳报文,8_bit:C_00_1,temp1,temp2,8_bit:C_00_2,16_t:C_00
C_01,拍摄中止,/,/,/,/,8_bit:C_01
C_02,设备就绪,/,/,/,/,16_t:C_02
C_03,旋转动作开启,/,/,/,/,16_t:C_03
C_04,射源开启,/,/,/,/,16_t:C_04
C_05,射线关闭,/,time1,time2,count1,count2
C_06,回转完成,/,/,/,/,16_t:C_06
C_07,A源参数变更,/,电压1,电压2,电流1,电流2
C_08,B源参数变更,/,电压1,电压2,电流1,电流2
C_09,预置参数变更,/,/,/,/,16_t:C_09
C_0A,config mode变更,/,/,/,/,16_t:C_0A
C_0B,电路板版本校验,/,/,/,/,8_bit:C_0B
C_0C,门控未关，不允许拍摄,/,/,/,/,16_t:C_0C
C_0D,门控状态切换,/,/,/,/,16_t:C_0D
C_0E,通知远控板发送版本,/,/,/,/,16_t:C_0E
C_0F,预览拍摄状态切换,/,/,/,/,16_t:C_0F
C_10,射源校准结束,/,/,/,/,16_t:C_10
C_11,采集暗场图像结束,/,/,/,An_count1,An_count2
C_12,采集亮暗场图像结束,/,/,/,An_count1,An_count2
C_13,设备旋转到启动位,/,/,/,/,16_t:C_13
